universe_name,decision_zone,n_obs,n_unique_tickers,hit_rate,mean_forward_1m_return,median_forward_1m_return,avg_alpha_score,avg_confidence_score
original,Avoid,3097,59,0.562802712302228,0.03541913379145172,0.015625,-1.8861026800129157,2.3961898611559573
original,Avoid Chasing,13,11,0.5384615384615384,0.110949583400581,0.0069686464568325945,0.49046153846153834,2.576923076923077
original,Neutral,838,59,0.5656324582338902,0.04694759489661477,0.015306432485718835,0.7615525059665872,2.809665871121718
original,Strong Candidate,72,36,0.5555555555555556,0.05761576905810929,0.03260559807743835,3.2405138888888887,3.5208333333333335
original,Watchlist,110,40,0.5545454545454546,0.046943537447737764,0.009140024316351525,2.54619090909091,2.8545454545454545
expanded_liquid_40,Avoid,2080,39,0.5591346153846154,0.042458545513844016,0.016830408331999447,-1.9767798076923078,2.3699519230769233
expanded_liquid_40,Avoid Chasing,10,8,0.6,0.13215817877750785,0.05679907417784358,0.5428,2.55
expanded_liquid_40,Neutral,527,39,0.5844402277039848,0.05397401174134529,0.017786591780810657,0.7917817836812144,2.7808349146110056
expanded_liquid_40,Strong Candidate,40,21,0.55,0.06576147941265276,0.023107958550010244,3.3337499999999998,3.5
expanded_liquid_40,Watchlist,73,27,0.5068493150684932,0.03070061058074362,0.0024330368726670493,2.6589315068493153,2.910958904109589
expanded_liquid_60,Avoid,3097,59,0.562802712302228,0.03541913379145172,0.015625,-1.8861026800129157,2.3961898611559573
expanded_liquid_60,Avoid Chasing,13,11,0.5384615384615384,0.110949583400581,0.0069686464568325945,0.49046153846153834,2.576923076923077
expanded_liquid_60,Neutral,838,59,0.5656324582338902,0.04694759489661477,0.015306432485718835,0.7615525059665872,2.809665871121718
expanded_liquid_60,Strong Candidate,72,36,0.5555555555555556,0.05761576905810929,0.03260559807743835,3.2405138888888887,3.5208333333333335
expanded_liquid_60,Watchlist,110,40,0.5545454545454546,0.046943537447737764,0.009140024316351525,2.54619090909091,2.8545454545454545
expanded_all_available,Avoid,4164,77,0.5485110470701249,0.03028813046136067,0.012254503776640835,-1.7464363592699328,2.4002161383285303
expanded_all_available,Avoid Chasing,30,20,0.5666666666666667,0.09111621581046749,0.015998549097937076,0.8147666666666666,2.533333333333333
expanded_all_available,Neutral,993,77,0.5589123867069486,0.043136511336541006,0.010273795335251412,0.7323937562940585,2.795065458207452
expanded_all_available,Strong Candidate,87,40,0.5862068965517241,0.08958890255942763,0.04166666666666674,3.2440344827586207,3.528735632183908
expanded_all_available,Watchlist,116,45,0.5431034482758621,0.03550330889642791,0.01005934541397746,2.5757758620689652,2.8706896551724137
