rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes
1,2026-04-30,3081.TWO,聯亞 LandMark Optoelectronics,optical_communication,1.751,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,3.251,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +3.25,,overbought(high); revenue_not_confirmed(medium),2.5,
2,2026-04-30,6187.TWO,萬潤 Wan Run,semi_equipment,1.649,4.5,Neutral,No urgency.,2.335,2.417,0.0,-0.008,0.0,0.0,3.095,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.33; revenue accel +2.42,1 negative headlines / 30d; valuation penalty -0.14,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
3,2026-04-30,2383.TW,台光電 Elite Material,pcb_substrate,0.694,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,2.194,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +2.19,,overbought(high); revenue_not_confirmed(medium),2.5,
4,2026-04-30,8046.TW,南電 Nan Ya PCB,pcb_substrate,0.128,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,1.628,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.63,,overbought(high); revenue_not_confirmed(medium),2.5,
5,2026-04-30,6213.TW,聯茂 ITEQ,pcb_substrate,0.015,2.5,Avoid Chasing,Overbought / valuation stretched without revenue confirmation.,1.515,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.51,,overbought(high); revenue_not_confirmed(medium),2.5,
6,2026-04-30,6196.TW,帆宣 Marketech International,facility_cleanroom,-0.108,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.289,0.448,0.0,0.111,0.0,0.0,0.378,0,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.45,1 negative headlines / 30d,,2.5,
7,2026-04-30,3583.TW,辛耘 Sun Tech,semi_equipment,-0.126,4.5,Avoid,Skip — negative residual alpha. Wait for setup change.,2.291,0.045,0.0,0.164,0.0,0.0,2.626,7,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +2.29; revenue accel +0.05,1 negative headlines / 30d; valuation penalty -0.11,overbought(high); valuation_extreme(medium); valuation_extreme(medium),2.5,
8,2026-04-30,4979.TWO,華星光通 PCL Tech,optical_communication,-0.141,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.359,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.36,,overbought(high); revenue_not_confirmed(medium),2.5,
9,2026-04-30,2351.TW,順德 SDI,gases_chemicals,-0.22,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.489,0.642,0.0,-0.074,0.0,0.0,2.277,6,residual alpha +1.49; revenue accel +0.64,valuation penalty -0.10,overbought(high); valuation_extreme(high),2.5,
10,2026-04-30,6274.TWO,台燿 Taiwan Union Tech,pcb_substrate,-0.249,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.251,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.25,,overbought(high); revenue_not_confirmed(medium),2.5,
11,2026-04-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-0.251,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.79,0.021,-0.0,0.688,0.0,0.0,0.17,0,revenue accel +0.02,,,2.5,
12,2026-04-30,3037.TW,欣興 Unimicron,pcb_substrate,-0.301,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.199,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.20,,overbought(high); revenue_not_confirmed(medium),2.5,
13,2026-04-30,3653.TW,健策 KEDGE,thermal,-0.343,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.157,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.16,,overbought(high); revenue_not_confirmed(medium),2.5,
14,2026-04-30,3017.TW,奇鋐 Auras Technology,thermal,-0.38,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.12,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.12,,overbought(high); revenue_not_confirmed(medium),2.5,
15,2026-04-30,3189.TW,景碩 Kinsus,pcb_substrate,-0.388,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.112,0.0,-0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.11,,overbought(high); revenue_not_confirmed(medium),2.5,
16,2026-04-30,2368.TW,金像電 Gold Circuit Electronics,pcb_substrate,-0.445,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.055,0.0,-0.0,0.0,0.0,0.0,1.5,5,residual alpha +1.05,,overbought(high); revenue_not_confirmed(medium),2.5,
17,2026-04-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-0.458,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.848,0.745,-0.0,0.325,0.0,0.0,0.68,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.75,1 negative headlines / 30d,valuation_extreme(medium),2.5,
18,2026-04-30,2357.TW,華碩 ASUS,ai_server_assembly,-0.499,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.101,0.0,-0.0,0.0,0.0,0.0,0.6,2,residual alpha +0.10,,revenue_not_confirmed(medium),2.5,
19,2026-04-30,6669.TW,緯穎 Wiwynn,ai_server_assembly,-0.571,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.029,0.0,0.0,0.0,0.0,0.0,0.6,2,residual alpha +0.03,,revenue_not_confirmed(medium),2.5,
20,2026-04-30,3587.TW,閎康 Materials Analysis Technology,inspection,-0.592,4.5,Avoid,Skip — negative residual alpha. Wait for setup change.,1.028,0.033,0.0,-0.034,0.0,0.0,1.619,5,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; residual alpha +1.03; revenue accel +0.03,1 negative headlines / 30d; valuation penalty -0.02,overbought(high); valuation_extreme(medium),2.5,
21,2026-04-30,2376.TW,技嘉 GIGABYTE,ai_server_assembly,-0.615,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.015,0.0,0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
22,2026-04-30,2377.TW,微星 MSI,ai_server_assembly,-0.655,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.055,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
23,2026-04-30,2382.TW,廣達 Quanta,ai_server_assembly,-0.685,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.085,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
24,2026-04-30,3231.TW,緯創 Wistron,ai_server_assembly,-0.727,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.127,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
25,2026-04-30,6271.TW,同欣電 Tong Hsing,inspection,-0.784,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.274,0.111,-0.0,0.075,0.0,0.0,0.697,0,tags: n2_a16;twonm;overseas_fab; multi-source (19 domains); CAPEX context +0.50; revenue accel +0.11,1 negative headlines / 30d,,2.5,
26,2026-04-30,2436.TW,偉詮電 Weltrend,semi_equipment,-0.816,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.113,0.888,-0.0,-0.302,0.0,0.0,1.288,3,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.89,1 negative headlines / 30d,overbought(high),2.5,
27,2026-04-30,2356.TW,英業達 Inventec,ai_server_assembly,-0.915,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.315,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
28,2026-04-30,6285.TW,啟碁 Wistron NeWeb,leo_satellite,-0.917,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.317,0.0,0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
29,2026-04-30,1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,-0.996,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.396,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
30,2026-04-30,2308.TW,台達電 Delta Electronics,power_grid_energy,-1.004,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.496,0.0,0.0,0.0,0.0,0.0,1.5,5,residual alpha +0.50,,overbought(high); revenue_not_confirmed(medium),2.5,
31,2026-04-30,1514.TW,亞力 Allis Electric,power_grid_energy,-1.067,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.467,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
32,2026-04-30,3324.TWO,雙鴻 Asia Vital Components,thermal,-1.069,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.469,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
33,2026-04-30,3413.TW,京鼎 KE Holdings,semi_equipment,-1.205,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.44,0.224,-0.0,-0.044,0.0,0.0,0.945,0,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; revenue accel +0.22,1 negative headlines / 30d,,2.5,
34,2026-04-30,4967.TW,十銓 Team Group,memory_hbm,-1.234,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.634,0.0,0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
35,2026-04-30,2421.TW,建準 Sunon,thermal,-1.289,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.689,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
36,2026-04-30,3363.TWO,上詮 LuxNet,optical_communication,-1.313,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.187,0.0,-0.0,0.0,0.0,0.0,1.5,5,residual alpha +0.19,,overbought(high); revenue_not_confirmed(medium),2.5,
37,2026-04-30,2327.TW,國巨 Yageo,passive_components,-1.351,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.751,0.0,0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
38,2026-04-30,1519.TW,華城 Hua Eng Wire,power_grid_energy,-1.385,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.785,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
39,2026-04-30,2451.TW,創見 Transcend,memory_hbm,-1.427,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.827,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
40,2026-04-30,3450.TWO,聯鈞 Browave,optical_communication,-1.502,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.902,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
41,2026-04-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.599,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.493,0.418,-0.0,-0.556,0.0,0.0,0.968,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50; revenue accel +0.42,1 negative headlines / 30d,valuation_extreme(medium),2.5,
42,2026-04-30,4977.TW,眾達-KY Applied Optoelectronics,optical_communication,-1.693,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.193,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
43,2026-04-30,5347.TWO,世界先進 Vanguard,indirect,-1.77,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.811,-0.138,-0.0,-0.7,0.0,0.0,0.12,0,2 positive headlines / 30d; tags: memory;passive_components;n3; multi-source (10 domains),,,2.5,
44,2026-04-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-1.824,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.257,-0.044,0.0,0.488,0.0,0.0,2.525,6,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +0.26,1 negative headlines / 30d; valuation penalty -0.15,overbought(high); valuation_extreme(high),2.5,
45,2026-04-30,2492.TW,華新科 Walsin Technology,passive_components,-1.937,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.337,0.0,-0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
46,2026-04-30,8358.TW,金居 Co-Tech Development,pcb_substrate,-1.967,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.467,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
47,2026-04-30,1504.TW,東元 TECO,power_grid_energy,-1.984,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.484,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,
48,2026-04-30,6442.TW,光聖 Luxnet Corp,optical_communication,-2.081,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.581,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
49,2026-04-30,3260.TWO,威剛 ADATA,memory_hbm,-2.132,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.632,0.0,0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
50,2026-04-30,8299.TWO,群聯 Phison,memory_hbm,-2.171,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.571,0.0,0.0,0.0,0.0,0.0,0.6,2,,,revenue_not_confirmed(medium),2.5,
51,2026-04-30,8996.TW,高力 KAORI,thermal,-2.245,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.745,0.0,0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
52,2026-04-30,3491.TWO,昇達科 Microelectronics Technology,leo_satellite,-2.367,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.867,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
53,2026-04-30,2313.TW,華通 Compeq Manufacturing,pcb_substrate,-2.508,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.008,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,overbought(high); revenue_not_confirmed(medium),2.5,
54,2026-04-30,6282.TW,康舒 ACBEL Polytech,power_grid_energy,-2.838,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.338,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,
55,2026-04-30,2408.TW,南亞科 Nanya Tech,memory_hbm,-3.348,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.848,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,
56,2026-04-30,2344.TW,華邦電 Winbond,memory_hbm,-3.367,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.867,0.0,-0.0,0.0,0.0,0.0,1.5,5,,,excessive_drawdown(high); revenue_not_confirmed(medium),2.5,
57,2026-04-30,6139.TW,亞翔工程 Acter,facility_cleanroom,-4.172,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.565,-2.705,0.0,0.027,0.0,0.0,0.929,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,valuation_extreme(medium),2.5,
58,2026-04-30,3680.TW,家登 Gudeng Precision,semi_equipment,-4.728,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.538,-1.389,0.0,-0.123,0.0,0.0,2.678,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.06,price_up_revenue_down(high); revenue_not_confirmed(high); valuation_extreme(medium),2.5,
59,2026-04-30,3131.TWO,弘塑 Grand Process Technology,semi_equipment,-5.246,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.437,-1.716,-0.0,-0.038,0.0,0.0,3.056,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.13,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
