universe_name,num_stocks,cost_bps,cagr,sharpe,max_drawdown,monthly_hit_rate,avg_monthly_turnover,annualized_turnover,final_nav,net_alpha_vs_benchmark,top5_concentration,max_theme_exposure,unique_holdings_count,strong_count,strong_hit_rate,watchlist_count,watchlist_hit_rate
original,59,25.0,1.1746983294999285,2.0306159068784915,-0.27769383312046925,0.7285714285714285,0.5542857142857143,6.651428571428571,92.93107373496845,0.8673518227778971,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
original,59,50.0,1.1406223576847463,1.9910111729926452,-0.2849238223714641,0.7285714285714285,0.5542857142857143,6.651428571428571,84.75207365993631,0.833275850962715,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
original,59,100.0,1.0739142722701485,1.911885092842086,-0.299204772293724,0.7285714285714285,0.5542857142857143,6.651428571428571,70.46059972012442,0.7665677655481171,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
expanded_liquid_40,39,25.0,1.126219403903029,2.0124791237091393,-0.23680781966729902,0.6571428571428571,0.54,6.48,81.47926769155319,0.8188728971809978,0.1282051282051282,0.4,39,5,0.6,25,0.64
expanded_liquid_40,39,50.0,1.0936350768490932,1.9727556678997828,-0.24206720196597786,0.6571428571428571,0.54,6.48,74.45989468735604,0.7862885701270619,0.1282051282051282,0.4,39,5,0.6,25,0.64
expanded_liquid_40,39,100.0,1.0298174258379635,1.8934446202975588,-0.2525058522163087,0.6428571428571429,0.54,6.48,62.1582859469193,0.7224709191159322,0.1282051282051282,0.4,39,5,0.6,25,0.64
expanded_liquid_60,59,25.0,1.1746983294999285,2.0306159068784915,-0.27769383312046925,0.7285714285714285,0.5542857142857143,6.651428571428571,92.93107373496845,0.8673518227778971,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
expanded_liquid_60,59,50.0,1.1406223576847463,1.9910111729926452,-0.2849238223714641,0.7285714285714285,0.5542857142857143,6.651428571428571,84.75207365993631,0.833275850962715,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
expanded_liquid_60,59,100.0,1.0739142722701485,1.911885092842086,-0.299204772293724,0.7285714285714285,0.5542857142857143,6.651428571428571,70.46059972012442,0.7665677655481171,0.0847457627118644,0.4,56,17,0.7058823529411765,35,0.4
expanded_all_available,77,25.0,1.1718669626217486,2.0321247287806883,-0.27144136925343554,0.7428571428571429,0.5800000000000001,6.960000000000001,92.22750175436255,0.8645204558997173,0.06493506493506493,0.4,69,26,0.6538461538461539,45,0.5111111111111111
expanded_all_available,77,50.0,1.1363199297706,1.991116626014149,-0.27838662470819064,0.7428571428571429,0.5800000000000001,6.960000000000001,83.76322121228542,0.8289734230485686,0.06493506493506493,0.4,69,26,0.6538461538461539,45,0.5111111111111111
expanded_all_available,77,100.0,1.0668001522421218,1.9091286735465063,-0.29211346655539683,0.7428571428571429,0.5800000000000001,6.960000000000001,69.06231972335709,0.7594536455200904,0.06493506493506493,0.4,69,26,0.6538461538461539,45,0.5111111111111111
